Fecha,Usuario,Documento de Recepción,Nota,SKU,Código Barras,Producto,Cantidad,Serie,Costo Neto Unitario,Costo Neto Total
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,87028249,7858816082498,ADAPTADOR C A DOBLE C IRM-08249,2,,"1.000,00",2
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,6956116793524,6956116793555,CABLE USB-C 1 MT JOYROOM JR-S118,1,,"981,00",981
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,40087020,6971393457020,CABLE USB-IPHONE 1 MT ASPOR,1,,"1.000,00",1
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,13088636,6954851258636,CABLE USB-IPHONE 1 MT REMAX CELESTE,1,,"840,24",840
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,13088612,6954851258612,CABLE USB-IPHONE 1 MT REMAX NEGRO,3,,"840,24",2.521
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,22084340,6925871603034,CABLE USB-IPHONE ET-E4340I,1,,"890,76",891
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,40087037,6971393457037,CABLE USB-C 1 MT ASPOR,1,,"1.150,00",1.15
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,39080701,885909627424,CABLE USB-IPHONE 1 MT TIPO ORIGINAL,2,,"1.500,00",3
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,13088667,6954851258667,CABLE USB-V8 1 MT REMAX ROSADO,4,,"840,24",3.361
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,13088629,6954851258629,CABLE USB-IPHONE 1 MT REMAX ROSADO,3,,"840,24",2.521
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,87084106,7858816041068,CABLE USB-IPHONE IRM-04106,1,,"1.176,47",1.176
15/10/2021,NATALY BAEZA,Sin Documento Nº 151021,INVENTARIO,87087531,7858816075315,CABLE USB-V8 3 MTS IRM-07531,2,,"1.261,00",2.522
16/10/2021,NATALY BAEZA,Sin Documento Nº 161021,INVENTARIO,40383105,6901634517404,PORTA CELULAR BRACKET SH-3105 BICI BRAZO,1,,"1.990,00",1.99
16/10/2021,NATALY BAEZA,Sin Documento Nº 161021,INVENTARIO,40383105,6901634517404,PORTA CELULAR BRACKET SH-3105 BICI BRAZO,2,,"1.990,00",3.98
19/10/2021,NATALY BAEZA,Sin Documento Nº 191021,INVENTARIO,87086013,7858816060137,CABLE DE PODER PARA COMPUTADOR IRM-06013,1,,"552,00",552
19/10/2021,NATALY BAEZA,Sin Documento Nº 191021,INVENTARIO,87086012,7858816060120,CABLE DE PODER TIPO TREBOL IRM-06012,1,,"504,00",504
19/10/2021,NATALY BAEZA,Sin Documento Nº 191021,INVENTARIO,40080620,6686993187481,CABLE DE RED 20 MTS CAT 6 0410-5,1,,"2.690,00",2.69
19/10/2021,NATALY BAEZA,Sin Documento Nº 191021,INVENTARIO,40081212,6686996002422,"CABLE EXTENSION PLUG 1,5 MTS 1212-29",1,,"630,00",630
19/10/2021,NATALY BAEZA,Sin Documento Nº 191021,INVENTARIO,40080605,6686996662558,CABLE DE RED 5 MTS CAT 6 0410-2,1,,"950,00",950
19/10/2021,NATALY BAEZA,Sin Documento Nº 191021,INVENTARIO,98081604,8712581622558,CABLE MICRO HDMI A HDMI PHILIPS SWV2462W,1,,"1.680,70",1.681
19/10/2021,NATALY BAEZA,Sin Documento Nº 191021,INVENTARIO,87088519,7858816085192,CABLE PLUG-PLUG 1 MT IRM-08519,1,,"920,00",920
19/10/2021,NATALY BAEZA,Sin Documento Nº 191021,INVENTARIO,40085482,6689950025482,CABLE USB MACHO-MACHO 3 MTS,1,,"2.290,00",2.29
19/10/2021,NATALY BAEZA,Sin Documento Nº 191021,INVENTARIO,87085646,7858816056468,CABLE USB-PLUG MACHO IRM-05646,1,,"276,00",276
20/10/2021,NATALY BAEZA,Sin Documento Nº 20102021,ALIEXPRESS,54335454,54335454,LAMINA HIDROGEL,100,,"936,00",93.6
20/10/2021,NATALY BAEZA,Factura Nº 55352,LAPTOPCENTER,50930908,27280908,CARGADOR DE NOTEBOOK HP PUNTA AZUL 19.5V-7.7A 4.5X3MM 150W GAMER,10,,"29.900,00",299
20/10/2021,NATALY BAEZA,Factura Nº 55352,LAPTOPCENTER,50930206,27280206,CARGADOR DE NOTEBOOK HP PUNTA AZUL 19.5V-4.62A 4.5X3MM 90W,10,,"8.100,00",81
20/10/2021,NATALY BAEZA,Factura Nº 55352,LAPTOPCENTER,50930204,27280204,CARGADOR DE NOTEBOOK HP PUNTA AZUL 19.5V-3.33A 4.5X3MM 65W,30,,"7.500,00",225
20/10/2021,NATALY BAEZA,Factura Nº 55352,LAPTOPCENTER,50930802,27280802,CARGADOR MACBOOK MAGSAFE 2 16.5V-3.65A 60W,5,,"16.900,00",84.5
22/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2183,Recepcion / NATALY FLORIDA,98921043,041333116013,PILA 9V DURACELL,4,,"1.974,79",7.899
25/10/2021,NATALY BAEZA,Sin Documento Nº 251021,INVENTARIO,22744713,6925871647137,AUDIFONOS BLUETOOTH ET-A4713BW,1,,"4.781,51",4.782
26/10/2021,NATALY BAEZA,Sin Documento Nº 261021,INVENTARIO,87388047,7858816080470,PORTA CELULAR IRM-08047 ESCRITORIO,4,,"770,00",3.08
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40930300,6931328508210,REPETIDOR DE SEÑAL WIFI M300,4,,"10.990,00",43.96
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40526027,4260275511489,"COFRE PARA DISCO DURO USB 3.0 SATA III 2,5"" HDD/SSD",15,,"4.990,00",74.85
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40931474,40931474,SOPORTE PARA NOTEBOOK VARIOS NIVELES,6,,"5.990,00",35.94
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40080920,6686996002392,CABLE OPTICO 1.5 MTS 0515-1,12,,"1.090,00",13.08
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40082029,6686996002408,CABLE OPTICO 3.0 MTS 1212-28,12,,"1.590,00",19.08
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40025158,40025158,ADAPTADOR HDMI A VGA 0515-8,12,,"3.900,00",46.8
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40022033,6924097012033,ADAPTADOR DE ENCHUFE AMERICANO A CHILE NEGRO 6A,100,,"190,00",19
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40550101,6922879540101,POWER BANK 10000 MAH TRIPLE CONECTOR,15,,"4.700,00",70.5
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40555000,6918888888068,POWER BANK 5000 MAH EZRA PB01,15,,"4.990,00",74.85
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40550309,6918033884464,POWER BANK 30000 MAH EZRA P309,10,,"16.590,00",165.9
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40381028,9311998645021,TRIPODE PATA FLEXIBLE BA-1028,12,,"990,00",11.88
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40523255,40523255,"SOPORTE DE TV FIJO RECLINABLE 32""-55"" HT-002",6,,"3.700,00",22.2
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40370002,6986698983242,PARLANTES PARA PC D-02A,12,,"2.390,00",28.68
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40387499,1578761687499,PORTA CELULAR VIDRIO BRAZO,10,,"2.990,00",29.9
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40522433,6520057892433,DISPENSADOR DE PAPEL ALUMINIO-ALUSA Y NOVA,10,,"6.500,00",65
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40200005,8201756716852,MOUSE INALAMBRICO VERTICAL D5,15,,"5.990,00",89.85
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40500003,1456873738578,MINI TECLADO SMART TV MX3,6,,"6.590,00",39.54
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40501150,7803864181150,MINI TECLADO SMART TV I8-L,6,,"4.690,00",28.14
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40500560,6901756715603,TECLADO ALAMBRICO JX-560,6,,"3.190,00",19.14
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40926361,6956846536361,HUB USB TIPO C 4 PUERTOS T-818A,8,,"5.390,00",43.12
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40121839,8963209861839,CARGADOR CASA CABLE C-IPHONE PD 20W,12,,"4.290,00",51.48
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40126246,8963209876246,CARGADOR CASA CABLE C-C PD 20W,12,,"4.290,00",51.48
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,6956116793524,6956116793555,CABLE USB-C 1 MT JOYROOM JR-S118,15,,"1.150,00",17.25
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40080346,6956116762711,CABLE USB-C 90 CMS JOYROOM S-M346,15,,"1.589,92",23.849
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40084867,6901517664867,CABLE C-IPHONE,15,,"2.990,00",44.85
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40080615,6686993187474,CABLE DE RED 15 MTS CAT 6 0410-4,5,,"2.090,00",10.45
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40528012,1578595018012,SPLITTER HDMI 2 SALIDAS,4,,"5.390,00",21.56
26/10/2021,NATALY BAEZA,Factura Nº 5635,IMPERIO,40020668,6905631006688,ADAPTADOR ENCHUFE INTERNACIONAL 00668,15,,"1.790,00",26.85
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40520012,1456872203992,"AMPLIFICADOR DE PANTALLA 12""",12,,"2.200,00",26.4
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40350038,6986698983235,AUDIFONOS MANOS LIBRES EZRA EZ38,30,,"1.390,00",41.7
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40740002,6918888888389,AUDIFONO MANOS LIBRES BLUETOOTH EZRA BE02,4,,"4.190,00",16.76
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40740003,6918888888419,AUDIFONO MANOS LIBRES BLUETOOTH EZRA BE03,6,,"6.200,00",37.2
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40746867,6934177716867,AUDIFONOS BLUETOOTH XIAOMI REDMI AIRDOTS PRO,6,,"14.500,00",87
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40386228,6933126206228,TRIPODE PATA FIJA YUNTFNG,12,,"1.200,00",14.4
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40730006,6918888885333,BASTON SELFIE CON DISPARADOR Y TRIPODE EZRA ST06,6,,"3.290,00",19.74
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40521688,6933126200518,TRIPODE 130 CMS YUNTENG VCT-1688,3,,"8.900,00",26.7
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40731288,6933126200235,BASTON SELFIE BLUETOOTH YT-1288,6,,"4.700,00",28.2
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40522663,5541828501232,"SOPORTE DE TV FIJO 26""-63""",6,,"2.390,00",14.34
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40110006,6918888888617,CARGADOR AUTO EZRA CR06,12,,"1.390,00",16.68
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40210003,6918888887597,TRANSMISOR BLUETOOTH EZRA BCR03,6,,"5.590,00",33.54
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40112515,6920155502515,PORTA CELULAR TABLERO IMAN,6,,"2.490,00",14.94
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40528342,6986698983426,REPRODUCTOR DE MP4/MP3 MOD 98342,6,,"16.990,00",101.94
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40520005,6820100415863,PESA DIGITAL DE COCINA CON BOWL,10,,"3.100,00",31
26/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2185,Recepcion / NATALY FLORIDA,54335454,54335454,LAMINA HIDROGEL,16,,"936,00",14.976
28/10/2021,NATALY BAEZA,Factura Nº 42204,CIQ,54335454,54335454,LAMINA HIDROGEL,100,,"936,60",93.66
28/10/2021,NATALY BAEZA,Sin Documento Nº 281021,INVENTARIO,98350288,6932448282882,AUDIFONO MULTIMEDIA SONIA SN-288MV ELECTRONICA MENOR,1,,"3.319,33",3.319
28/10/2021,NATALY BAEZA,Sin Documento Nº 281021,INVENTARIO,25031460,6927900010264,AUDIFONOS TARGET TT-E1460BK ELECTRONICA MENOR,1,,"690,00",690
28/10/2021,NATALY BAEZA,Sin Documento Nº 281021,INVENTARIO,25031464,6927900010257,AUDIFONOS TARGET TT-E1460RD ELECTRONICA MENOR,4,,"690,00",2.76
28/10/2021,NATALY BAEZA,Sin Documento Nº 281021,INVENTARIO,37SONMD15B,027242868625,AUDIFONOS SONY MDR-EX15LP WH ELECTRONICA MENOR,1,,"4.290,00",4.29
28/10/2021,NATALY BAEZA,Sin Documento Nº 281021,INVENTARIO,92710032,619659068165,PENDRIVE 32 GB SANDISK,3,,"3.390,00",10.17
29/10/2021,NATALY BAEZA,Sin Documento Nº 291021,INVENTARIO,98126612,6925871666121,CARGADOR CASA CABLE USB-V8 ET-E6612,1,,"789,92",790
29/10/2021,NATALY BAEZA,Factura Nº 133,ANI,39930009,6972470560657,AUDIFONOS GAMER ONIKUMA K9 ROSADO OREJA DE GATO,3,,"17.500,00",52.5
29/10/2021,NATALY BAEZA,Factura Nº 133,ANI,39500025,6972470560947,TECLADO Y MOUSE ALAMBRICO GAMER ONIKUMA G25,2,,"17.739,00",35.478
29/10/2021,NATALY BAEZA,Factura Nº 133,ANI,39195008,39195008,"FUNDA CON TECLADO PARA TABLET 8""",10,,"8.500,00",85
30/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2188,Recepcion / NATALY BAEZA,98920985,041333000985,PILA DURACELL D2,2,,"2.353,00",4.706
30/10/2021,NATALY BAEZA,Factura Nº 133,ANI,39740808,305541008080,AUDIFONOS BLUETOOTH UNICORN AH-808,6,,"7.800,00",46.8
30/10/2021,NATALY BAEZA,Factura Nº 133,ANI,395107601,395107601,TAPA 2.0 IPHONE 11,10,,"1.620,00",16.2
30/10/2021,NATALY BAEZA,Factura Nº 133,ANI,395114304,395114304,TAPA 2.0 SAM A32,10,,"1.620,00",16.2
30/10/2021,NATALY BAEZA,Factura Nº 133,ANI,395114307,395114307,TAPA 2.0 SAM A52,10,,"1.620,00",16.2
,,,,,,,,,,
,,,,,,,,Total,"4.498.455,73",
